hour,pv,cart,fav,buy
0,3056936,181807,105681,57776
1,1421673,85412,51374,23169
2,769269,46155,27791,12012
3,524992,32552,18384,8026
4,449628,28537,14793,6748
5,581694,37264,18992,8135
6,1226653,81305,40524,18014
7,2228959,147046,74666,37679
8,3042342,192036,103721,64917
9,3728498,229890,127976,96134
10,4334810,266963,147752,127933
11,4213518,260831,145412,122048
12,4255794,255811,140862,118591
13,4653934,279829,150844,123427
14,4642056,277093,148561,122172
15,4806706,284269,151321,122733
16,4607745,279035,148722,116446
17,4203397,255342,137631,101301
18,4313516,253193,133262,95907
19,5430878,314774,161057,115032
20,6586331,393209,191406,133863
21,7538383,465924,219974,145433
22,7443073,486249,232222,138268
23,5599903,395920,195330,100075
