r_score,f_score,m_score,users
1,1,1,2842
1,1,2,18946
1,1,3,11496
1,1,4,6849
1,1,5,3881
1,2,1,939
1,2,2,14173
1,2,3,10125
1,2,4,7957
1,2,5,6837
1,3,1,423
1,3,2,11791
1,3,3,9169
1,3,4,8366
1,3,5,9390
1,4,1,254
1,4,2,9280
1,4,3,7897
1,4,4,7924
1,4,5,12153
1,5,1,100
1,5,2,7164
1,5,3,6797
1,5,4,7525
1,5,5,15320
2,1,1,1279
2,1,2,16782
2,1,3,9979
2,1,4,7356
2,1,5,2161
2,2,1,1093
2,2,2,13676
2,2,3,10119
2,2,4,9983
2,2,5,4640
2,3,1,872
2,3,2,11457
2,3,3,9350
2,3,4,11021
2,3,5,7200
2,4,1,723
2,4,2,9432
2,4,3,8506
2,4,4,11641
2,4,5,9891
2,5,1,541
2,5,2,7364
2,5,3,7451
2,5,4,11188
2,5,5,13893
3,1,1,18428
3,1,3,10234
3,1,4,7561
3,1,5,2307
3,2,1,14746
3,2,3,10150
3,2,4,9917
3,2,5,4800
3,3,1,11886
3,3,3,9354
3,3,4,10894
3,3,5,6882
3,4,1,10199
3,4,3,8613
3,4,4,11658
3,4,5,9681
3,5,1,7974
3,5,3,7204
3,5,4,11367
3,5,5,13743
4,1,1,18348
4,1,2,7119
4,1,3,5806
4,1,4,5089
4,1,5,2269
4,2,1,14492
4,2,2,6951
4,2,3,6196
4,2,4,6909
4,2,5,4751
4,3,1,12178
4,3,2,6414
4,3,3,6302
4,3,4,7659
4,3,5,7034
4,4,1,10111
4,4,2,5943
4,4,3,5848
4,4,4,8297
4,4,5,9863
4,5,1,7708
4,5,2,5140
4,5,3,5388
4,5,4,8211
4,5,5,13572
5,1,1,18511
5,1,2,10590
5,1,3,5187
5,1,4,2363
5,1,5,2216
5,2,1,14246
5,2,2,10190
5,2,3,6349
5,2,4,3688
5,2,5,4671
5,3,1,11814
5,3,2,9485
5,3,3,6888
5,3,4,4479
5,3,5,7290
5,4,1,9925
5,4,2,8629
5,4,3,6861
5,4,4,4738
5,4,5,9531
5,5,1,7967
5,5,2,7072
5,5,3,6329
5,5,4,4958
5,5,5,13622
